date,id,order_status,comment,type_of_order,internal_notes,shipping_company,tracking_number,name,email_id,user_type,product,ctype,customer_notify,orders_due_date,cp_id
,561459,Shipped,,,,,1318210002995,,,,,,,,4
,561459,Shipped,,,,,1318210003006,,,,,,,,4
,561459,Shipped,,,,,1318210003010,,,,,,,,4
,561459,Shipped,,,,,1318210003021,,,,,,,,4
,561459,Shipped,,,,,1318210003032,,,,,,,,4
,561459,Shipped,,,,,1318210003043,,,,,,,,4
,561459,Shipped,,,,,1318210003054,,,,,,,,4
,561459,Shipped,,,,,1318210003065,,,,,,,,4
,561459,Shipped,,,,,1318210003076,,,,,,,,4
,561459,Shipped,,,,,1318210003080,,,,,,,,4
,561459,Shipped,,,,,1318210003091,,,,,,,,4
,561459,Shipped,,,,,1318210003102,,,,,,,,4
,561459,Shipped,,,,,1318210003113,,,,,,,,4
,561459,Shipped,,,,,1318210003124,,,,,,,,4
,561459,Shipped,,,,,1318210003135,,,,,,,,4
,561459,Shipped,,,,,1318210003146,,,,,,,,4
,561459,Shipped,,,,,1318210003150,,,,,,,,4
,561459,Shipped,,,,,1318210003161,,,,,,,,4
