date,id,order_status,comment,type_of_order,internal_notes,shipping_company,tracking_number,name,email_id,user_type,product,ctype,customer_notify,orders_due_date,cp_id
,561459,Shipped,,,,,1318210002763,,,,,,,,4
,561459,Shipped,,,,,1318210002785,,,,,,,,4
,561459,Shipped,,,,,1318210002800,,,,,,,,4
,561459,Shipped,,,,,1318210002822,,,,,,,,4
,561459,Shipped,,,,,1318210002844,,,,,,,,4
,561459,Shipped,,,,,1318210002866,,,,,,,,4
,561459,Shipped,,,,,1318210002870,,,,,,,,4
,561459,Shipped,,,,,1318210002881,,,,,,,,4
,561459,Shipped,,,,,1318210002892,,,,,,,,4
,561459,Shipped,,,,,1318210002903,,,,,,,,4
,561459,Shipped,,,,,1318210002914,,,,,,,,4
,561459,Shipped,,,,,1318210002925,,,,,,,,4
,561459,Shipped,,,,,1318210002936,,,,,,,,4
,561459,Shipped,,,,,1318210002940,,,,,,,,4
,561459,Shipped,,,,,1318210002951,,,,,,,,4
,561459,Shipped,,,,,1318210002962,,,,,,,,4
,561459,Shipped,,,,,1318210002973,,,,,,,,4
,561459,Shipped,,,,,1318210002984,,,,,,,,4
